"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-0.0863279377871246,1.37191707355834,-0.0629250407702965,0.949834645942896,-2.77742494556508,2.60476906999083
"viral_suppressionDetectable",1.25747710148217,0.439281897692938,2.8625743698666,0.00426098694395336,0.395799509420177,2.11915469354416
"cd4_100",0.231911840124678,0.0465905458707116,4.97765878872147,0.000000718516167217219,0.140521710939817,0.323301969309539
"age_decade",0.250617785879531,0.206440605864622,1.21399462489409,0.224942417879848,-0.154327751597612,0.655563323356675
"SEXFemale",-2.09235830127678,0.442452252184977,-4.729003617778,0.00000247003114502471,-2.96025473240095,-1.22446187015261
"race_eth_4catNon-Hispanic Black",1.58058537911882,0.56186492074408,2.81310564294643,0.00497104028067888,0.47845389017392,2.68271686806373
"race_eth_4catHispanic",1.33561110808017,0.7122437923497,1.87521621448462,0.060958689651432,-0.0614974893289313,2.73271970548928
"race_eth_4catOther",2.33285624389439,1.13459230469006,2.05611851433424,0.0399451915639518,0.107285897809274,4.5584265899795
"ins_3catPrivate",0.183791129977659,1.80820328590537,0.10164295763108,0.919053774986198,-3.36310725472801,3.73068951468333
"ins_3catPublic",-4.39517600961961,2.34909351725224,-1.871009381849,0.0615399038728361,-9.00306278142839,0.212710762189172
